backlog_id,workflow_name,function,phase,owner,action,expected_outcome,due_timing,dependency,success_metric
AI-011,Generate founder weekly review notes,Reporting,Phase 2: AI-assisted pilots,Founder Office Lead,"Run a limited pilot using AI for drafts, summaries, or routing on Generate founder weekly review notes.","The upside is meaningful, but the workflow needs validation before full automation.",Next 14 to 30 days,Pilot success criteria and human review checklist,Save at least 9.0 hours per month without quality regression.
AI-012,Draft post-demo follow-up emails,Sales,Phase 4: hiring or outsourcing decisions,Founder or functional lead,Define ownership requirements and hiring criteria for Draft post-demo follow-up emails.,"This is strategic, judgment-heavy work that needs accountable ownership.",Next planning cycle,Role scorecard and budget approval,Clear owner assigned and decision quality improves within one operating cycle.
AI-013,Analyze churn reasons,Product Feedback,Phase 4: hiring or outsourcing decisions,Customer Success Lead,"Keep Analyze churn reasons manual and monitor volume, risk, and cost changes.","The current ROI, risk, or frequency does not justify automation work yet.",Next planning cycle,Monthly workflow volume review,No increase in manual drag or error rate.
AI-014,Create help center article drafts,Support,Phase 3: deeper automation,Support Lead,"Keep Create help center article drafts manual and monitor volume, risk, and cost changes.","The current ROI, risk, or frequency does not justify automation work yet.",Next 30 to 60 days,Monthly workflow volume review,No increase in manual drag or error rate.
AI-015,Prepare vendor renewal tracker,Operations,Phase 3: deeper automation,Ops Manager,"Keep Prepare vendor renewal tracker manual and monitor volume, risk, and cost changes.","The current ROI, risk, or frequency does not justify automation work yet.",Next 30 to 60 days,Monthly workflow volume review,No increase in manual drag or error rate.
AI-016,Build competitor briefs,Sales,Phase 4: hiring or outsourcing decisions,Sales Lead,Document the current state process for Build competitor briefs before tooling.,The workflow is not stable enough for reliable automation.,Next planning cycle,Current process map and exception list,"Workflow has named inputs, outputs, approval rules, and exception handling."
AI-017,Reconcile contractor invoices,Finance,Phase 4: hiring or outsourcing decisions,Ops Manager,"Keep Reconcile contractor invoices manual and monitor volume, risk, and cost changes.","The current ROI, risk, or frequency does not justify automation work yet.",Next planning cycle,Monthly workflow volume review,No increase in manual drag or error rate.
AI-018,Prepare candidate scorecards,Hiring,Phase 4: hiring or outsourcing decisions,Founder,"Keep Prepare candidate scorecards manual and monitor volume, risk, and cost changes.","The current ROI, risk, or frequency does not justify automation work yet.",Next planning cycle,Monthly workflow volume review,No increase in manual drag or error rate.
AI-019,Prepare investor update draft,Founder Admin,Phase 4: hiring or outsourcing decisions,Founder,"Keep Prepare investor update draft manual and monitor volume, risk, and cost changes.","The current ROI, risk, or frequency does not justify automation work yet.",Next planning cycle,Monthly workflow volume review,No increase in manual drag or error rate.
AI-020,Prepare monthly burn variance notes,Finance,Phase 4: hiring or outsourcing decisions,Founder,"Keep Prepare monthly burn variance notes manual and monitor volume, risk, and cost changes.","The current ROI, risk, or frequency does not justify automation work yet.",Next planning cycle,Monthly workflow volume review,No increase in manual drag or error rate.
